work_Id,nom projet,permalink,Date de création,*SPV,Puissance MWc (Prev),Longitude DD (Projet),Latitude DD (Projet),Adresse (Projet),Code Postal (Projet),Commune (Projet),Période (Dépôt CRE),📆 Date (T0),Date (Limite MES),Type (Tarif)-V2,FIT €/MWh (déf),📅 Signature PMBAIL,Commercial,📆 Date (Demande Racco),Région (Projet),Date (MES prev),Puissance (MWc Déf),📆 Date réception CR(D),Montant HT CR(D),Estimatif cout Racco (HT),Date (Début Chantier),Productible kWh/kWc (V1),Responsable Dev,Date paiement acompte ( CR(D) ),Date (envoi dossier notaire),Productible kWh/kWc (V4 Solargis),Type (AU),Lauréat AO,📆 Signature Bail,Date (Signature Procuration),Réception DAACT,Pipeline (HS),📆 GO RACCO,Accord,📆 GO URBA,📆 Prev Accord,Validité,Date dépôt AO,📅 GO TARIF,Date (Fin Chantier),Date MES,📅 GO CONSTRUCTION,Date accord (PCM1),📆 Dépôt,Hypothèque,CAPEX - V3 (K€),Productible kWh/kWc (V3 Solargis),Date accord (PCM2),📆 COMPLETUDE OK,Date accord (Transf PC),Productible kWh/kWc (V2 Solargis),CAPEX - V1 (K€),Marge K€ (V1),Marge (V1),CAPEX - V2 (K€),Marge K€ (V2),📅 Date R1 fixée,Marge (V2),Date accord (PCM3),Marge K€ (V3),📅  Date accord (Transf DP),Marge (V3),Responsable Dev ID
IEACTCKNI4LVU7BC,Lapeyre-1,https://www.wrike.com/open.htm?id=391805986,2019-08-29T10:22:13Z,ENOE PV01,0.099,5.905183,44.706404,Lieu-dit Rioupes,05250,LE DEVOLUY,SANS OBJET,2019-10-18,2021-11-18,Obligation d'achat S17,107.6,2018-10-19,KUAFV42T,2019-09-17,Provence-Alpes-Côte d'Azur (13),2021-11-18,0.09999,2020-02-10,7184.56,0,2021-04-15,1319,GAUBERTI Anansa,2020-05-12,2020-01-31,1303,PC,,2020-09-09,2020-07-09,2022-03-15,"[""Bâtiment Neuf""]",2019-09-17,2019-07-02,2018-10-19,2019-07-02,2022-07-02,,2019-08-17,2021-12-10,2022-06-15,2020-12-03,,,,,,,,,,,,,,,,,,,,,KUAI73UW
IEACTCKNI4LVXMNS,Motte-1,https://www.wrike.com/open.htm?id=391885234,2019-08-29T13:57:36Z,ENOE PV01,0.099,5.856741,43.87821,Lieu-dit La Tour de Franque,04180,VILLENEUVE,SANS OBJET,2019-09-30,2021-10-30,Obligation d'achat S17,109.4,2018-10-05,KUAFV42T,2019-09-27,Provence-Alpes-Côte d'Azur (13),2021-11-01,0.09999,2020-02-04,5155.84,0,2021-04-01,1405,GAUBERTI Anansa,2020-05-04,2020-01-23,1413,PC,,2021-05-27,2021-04-13,2022-03-18,"[""Bâtiment Neuf""]",2019-09-27,2019-07-19,2018-10-05,2019-07-19,2022-07-19,,2019-08-27,2022-02-25,2022-10-13,2021-05-27,,,,,,,,,,,,,,,,,,,,,KUAI73UW
IEACTCKNI4LWZUZF,Michellon,https://www.wrike.com/open.htm?id=393007909,2019-09-02T14:38:58Z,ENOE PV01,0.099,6.189361,44.469336,Lieu-dit Les Mûriers,05190,THEUS,SANS OBJET,2020-02-06,2022-03-06,Obligation d'achat S17,105.1,2018-09-11,KUAFV42T,2019-12-29,Provence-Alpes-Côte d'Azur (13),2021-08-06,0.099,2020-04-24,23929.65,,2021-03-08,1426,GAUBERTI Anansa,2020-11-30,2020-10-21,1427,PC,,2022-01-11,2021-12-30,2022-05-05,"[""Bâtiment Neuf""]",2019-12-29,2019-07-12,2018-09-11,2019-07-12,2022-07-12,,2019-11-29,2022-03-24,2022-08-11,2022-01-11,,,,,,,,,,,,,,,,,,,,,KUAI73UW
IEACTCKNI4LXV3QB,Amat-3,https://www.wrike.com/open.htm?id=393932289,2019-09-04T15:07:29Z,ENOE PV01,0.099,5.904689,44.705622,Lieu-dit Rioupes,05250,LE DEVOLUY,SANS OBJET,2019-09-30,2021-10-30,Obligation d'achat S17,109.4,2018-10-19,KUAFV42T,2019-09-27,Provence-Alpes-Côte d'Azur (13),2021-11-01,0.09999,2020-02-10,10321.45,0,2020-09-14,1290,GAUBERTI Anansa,2020-06-23,2020-01-23,1160,PC,,2020-09-07,2020-07-09,2022-03-15,"[""Bâtiment Neuf""]",2019-09-27,2019-08-19,2018-10-19,2019-08-19,2022-08-19,,2019-08-27,2022-03-24,2022-06-15,2020-12-03,,,A déterminer,,,,,,,,,,,,,,,,,,KUAI73UW
IEACTCKNI4LYB6HH,Billaud-2,https://www.wrike.com/open.htm?id=394328295,2019-09-05T10:09:50Z,ENOE PV10,0.099,4.686561,43.794721,ZA le Grand Roubian,13150,TARASCON,SANS OBJET,2020-05-05,2022-06-05,Obligation d'achat S17,105.1,2018-10-13,KUAGEAKU,2020-02-13,Provence-Alpes-Côte d'Azur (13),2021-11-05,0.099,2020-07-17,2913.34,,2021-07-12,,CONGARD Kévin,2020-09-16,2020-06-30,1454,PC,,2022-01-12,2021-12-17,2022-12-23,"[""Bâtiment Neuf""]",2020-02-13,2019-05-15,2019-05-15,2019-05-15,2022-05-15,,2020-01-13,,,2021-12-17,2019-05-04 23:00:00.000,2019-03-12,,120,,,,,,,,,,,,,,,,,KUAJBVJC
IEACTCKNI4MA7S2C,Allard-1,https://www.wrike.com/open.htm?id=403688258,2020-09-26T10:23:25Z,ECO-18,0.099,4.717550,43.525220,Mas les 2 Verdiers Chemin de cazeau Le Sambuc,13200,ARLES,SANS OBJET,2019-03-29,2021-04-29,Obligation d'achat S17,111.9,2018-02-05,KUAGEAKU,2019-03-26,Provence-Alpes-Côte d'Azur (13),2021-02-18,0.0999,2019-06-27,15579.98,0,2020-08-24,1422,CONGARD Kévin,2019-09-02,2020-01-28,1369,PC,,2020-07-24,2020-06-30,2022-12-01,"[""Bâtiment Neuf""]",2019-03-29,2018-12-24,2018-02-05,2018-12-24,2021-12-24,,2019-02-26,2021-06-14,2022-01-05,2020-08-26,,2018-06-18,A déterminer,,,,,,,,,,,,,,,,,,KUAJBVJC
IEACTCKNI4MA7S2D,Arnaud,https://www.wrike.com/open.htm?id=403688259,2019-09-29T13:17:29Z,ECO-18,0.099,5.581214,44.413029,Lieu-dit Ribeyret Col de la Saulce,05150,RIBEYRET,SANS OBJET,2018-09-28,2020-10-28,Obligation d'achat S17,112.4,2018-02-15,KUAFV42T,2018-09-27,Provence-Alpes-Côte d'Azur (13),2020-10-28,0.09999,2018-12-11,7289.82,0,2020-04-27,1426,CONGARD Kévin,2019-02-28,2020-01-08,1445,PC,,2020-09-30,2020-05-20,2022-03-16,"[""Bâtiment Neuf""]",2021-01-04,2018-07-16,2018-02-15,2018-07-16,2021-07-16,,2018-08-27,2020-10-19,2021-01-04,2020-08-26,,,Non,,,,,,,,,,,,,,,,,,KUAJBVJC
IEACTCKNI4MA7S2E,Billaud-1,https://www.wrike.com/open.htm?id=403688260,2019-09-29T13:17:29Z,ECO-18,0.099,4.686604,43.794998,ZA le Grand Roubian,13150,TARASCON,SANS OBJET,2020-05-05,2022-06-05,Obligation d'achat S17,105.1,2018-10-12,KUAGEAKU,2019-12-30,Provence-Alpes-Côte d'Azur (13),2021-08-04,0.1,2020-07-17,2913.34,8000,2021-03-25,1461,CONGARD Kévin,2020-07-28,2020-03-13,1465,PC,,2022-01-12,2021-12-17,2022-12-23,"[""Bâtiment Neuf""]",2022-07-06,2019-05-14,2018-10-12,2019-05-14,2022-05-14,,2019-11-30,2022-10-10,2022-11-17,2022-01-12,2020-08-28,,Oui,,,,,,,,,,,,,,,,,,KUAJBVJC
IEACTCKNI4MA7S2F,Blanc-A,https://www.wrike.com/open.htm?id=403688261,2019-09-29T13:17:29Z,ECO-18,0.099,5.901667,44.139145,Lieu-dit La Grand Piece,04200,VALBELLE,SANS OBJET,2019-07-24,2022-06-05,Obligation d'achat S17,109.4,2018-09-11,KUAFV42T,2019-06-26,Provence-Alpes-Côte d'Azur (13),2021-08-24,0.09999,2019-12-12,13627.84,0,2020-11-24,1352,CONGARD Kévin,2020-03-11,2020-05-11,1163,PC,,2021-01-28,2020-12-08,2022-02-07,"[""Bâtiment Neuf""]",2022-07-06,2019-04-22,2018-09-11,2019-04-22,2022-04-22,,2019-05-26,2021-04-20,2022-01-14,2021-01-28,,,A déterminer,,,,,,,,,,,,,,,,,,KUAJBVJC
IEACTCKNI4MA7S2G,Blanc-Gras-1,https://www.wrike.com/open.htm?id=403688262,2019-09-29T13:17:29Z,ECO-18,0.099,6.180994,44.574306,Lieu-dit Les Fauries,05230,LA BATIE NEUVE,SANS OBJET,2020-02-10,2022-03-10,Obligation d'achat S17,105.1,2018-01-29,KUAGEAKU,2020-02-10,Provence-Alpes-Côte d'Azur (13),2021-10-11,0.09999,2020-03-05,14267.75,0,2021-03-31,1338,CONGARD Kévin,2020-05-27,2019-12-12,1456,PC,,2021-06-23,2021-03-10,,"[""Bâtiment Neuf""]",2022-07-06,2019-04-09,2018-01-29,2019-04-09,2022-04-09,,2020-01-10,,,2021-03-10,,,A déterminer,,,,,,,,,,,,,,,,,,KUAJBVJC
