work_Id,nom projet,permalink,Date de création,*SPV,Puissance MWc (Prev),Longitude DD (Projet),Latitude DD (Projet),Adresse (Projet),Code Postal (Projet),Commune (Projet),Période (Dépôt CRE),📆 Date (T0),Date (Limite MES),Type (Tarif)-V2,FIT €/MWh (déf),📅 Signature PMBAIL,Commercial,📆 Date (Demande Racco),Région (Projet),Date (MES prev),Puissance (MWc Déf),📆 Date réception CR(D),Montant HT CR(D),Estimatif cout Racco (HT),Date (Début Chantier),Productible kWh/kWc (V1),Responsable Dev,Date paiement acompte ( CR(D) ),Date (envoi dossier notaire),Productible kWh/kWc (V4 Solargis),Type (AU),Lauréat AO,📆 Signature Bail,Date (Signature Procuration),Réception DAACT,Pipeline (HS),📆 GO RACCO,Accord,📆 GO URBA,📆 Prev Accord,Validité,Date dépôt AO,📅 GO TARIF,Date (Fin Chantier),Date MES,📅 GO CONSTRUCTION,Date accord (PCM1),📆 Dépôt,Hypothèque,CAPEX - V3 (K€),Productible kWh/kWc (V3 Solargis),Date accord (PCM2),📆 COMPLETUDE OK,Date accord (Transf PC),Productible kWh/kWc (V2 Solargis),CAPEX - V1 (K€),Marge K€ (V1),Marge (V1),CAPEX - V2 (K€),Marge K€ (V2),📅 Date R1 fixée,Marge (V2),Date accord (PCM3),Marge K€ (V3),📅  Date accord (Transf DP),Marge (V3),Responsable Dev ID
IEACTCKNI4MXE2MO,Candy,https://www.wrike.com/open.htm?id=426928526,2019-11-25T09:36:03Z,ENOE PV03,0.099,5.683353,44.528339,Lieu-dit Boulon,05140,SAINT PIERRE D'ARGENCON,SANS OBJET,2020-06-30,2021-12-30,Obligation d'achat S17,105.4,2019-11-08,KUAGEAKU,2020-06-25,Provence-Alpes-Côte d'Azur (13),2022-01-17,0.0999,2020-09-30,28653.65,,2021-09-21,1368,GAUBERTI Anansa,2020-12-17,2020-10-05,1483,PC,,2021-05-20,2021-05-04,2022-10-29,"[""Bâtiment Neuf""]",2020-06-25,2020-03-13,2019-11-08,2020-03-13,2023-03-14,,2020-05-25,2022-03-31,2022-09-12,2021-05-20,,2020-02-10,NSP,,1471,,,,,,,,,,,,,,,,KUAI73UW
IEACTCKNI4MXHUS6,Pinet-1,https://www.wrike.com/open.htm?id=427020894,2019-11-25T13:51:49Z,ENOE PV03,0.211,5.80914,44.5309,"Z.A du Plat, Avenue Jean Moulin",05400,VEYNES,Bat-11 : Sept 2020,2021-01-29,2024-03-29,AO CRE,90.79,2019-09-04,KUAGEAKU,2021-03-23,Provence-Alpes-Côte d'Azur (13),2022-03-15,0.2314,2021-06-04,8593.64,30000,2022-01-24,0,GAUBERTI Anansa,2021-07-05,2021-02-01,1424,PC,true,2021-12-06,2021-11-16,,"[""Bâtiment Neuf""]",2021-01-06,2018-04-09,2019-09-04,2018-04-09,2021-04-09,2020-09-04,2021-02-23,,,2021-11-16,,,NSP,,1424,2020-08-11,,2019-04-05,,,,,,,,,,,,,KUAI73UW
IEACTCKNI4MXHWNP,Belle-étoile-2,https://www.wrike.com/open.htm?id=427022767,2019-11-25T13:55:38Z,A DETERMINER BAT,0.05,5.809589,,36 avenue Jean Moulin,05400,VEYNES,SANS OBJET,,,Obligation d'achat S21,,2019-09-04,KUAGEAKU,,Provence-Alpes-Côte d'Azur (13),2022-03-30,,,,,2021-12-06,,BRESCH Pénélope,,,,DP,,,,,,,,,,,,,,,,,,NSP,,,,,,,,,,,,,,,,,,KUAMTNF6
IEACTCKNI4MXHZZH,Bocquet-1,https://www.wrike.com/open.htm?id=427026215,2019-11-25T14:02:43Z,A DETERMINER BAT,0.162,6.006228,45.907243,Route de Fier,74150,VAULX,SANS OBJET,,,Obligation d'achat S21,,2021-02-05,KUAIZA3S,,Auvergne-Rhône-Alpes (1),2023-12-02,0.1632,,,19000,,1134,YVIN Camille,,,,PC,,,,,"[""Bâtiment Neuf""]",2021-07-12,,2021-12-02,2023-02-14,,,,,,,,2022-10-14,NSP,,,,2021-04-16,,,,,,,,,,,,,,KUAJ5YLI
IEACTCKNI4MXH36K,Pauner-1,https://www.wrike.com/open.htm?id=427028426,2019-11-25T14:08:10Z,ENOE PV03,0.099,4.672577,44.295975,Lieu Dit la Plaine du Rhône - 189 chemin de la Tamarisse,84840,LAPALUD,SANS OBJET,2020-12-08,2022-06-08,Obligation d'achat S17,98.7,2019-10-02,KUAGEAKU,2020-11-30,Provence-Alpes-Côte d'Azur (13),2022-06-01,0.09975,2021-03-04,33309.49,,2022-02-28,1372,GAUBERTI Anansa,2021-05-31,2021-05-21,1526,PC,,2022-03-18,2022-03-15,,"[""Bâtiment Neuf""]",2020-09-21,2020-10-09,2019-10-02,2020-10-09,2023-10-10,,2020-10-30,,,2022-03-15,,2020-08-03,NSP,,1493,,,,,,,,,,,,,,,,KUAI73UW
IEACTCKNI4MXIM2I,Mairie-Saint-Clair-1,https://www.wrike.com/open.htm?id=427045704,2019-11-25T14:41:47Z,ENOE PV03,0.099,5.1434,45.2565,"410 Route de Montrigaud, lieu-dit les rivoires",38940,SAINT-CLAIR-SUR-GALAURE,SANS OBJET,2020-09-16,2022-03-16,Obligation d'achat S17,102.5,2019-08-15,KUAGEAKU,2020-09-15,Auvergne-Rhône-Alpes(1),2022-02-15,0.1,2020-12-11,14818.73,23500,2021-10-30,0,GAUBERTI Anansa,2021-03-04,2021-01-18,1351,PC,,2021-11-02,2021-10-18,,"[""Bâtiment Neuf""]",2020-09-15,2020-07-30,2019-08-15,2020-07-30,2023-07-31,,2020-08-15,,,,,2020-02-04,SANS OBJET,,1327,,,,,,,,,,,,,,,,KUAI73UW
IEACTCKNI4MXINTF,Mairie-Saint-Clair-2,https://www.wrike.com/open.htm?id=427046501,2019-11-25T14:42:56Z,ENOE PV03,0.099,5.1434,45.2565,410 Route de Montrigaud,38940,SAINT-CLAIR-SUR-GALAURE,SANS OBJET,2020-09-16,2022-03-16,Obligation d'achat S17,102.5,2019-08-15,KUAGEAKU,2020-09-15,Auvergne-Rhône-Alpes (1),2022-02-15,0.1,2020-12-11,14818.73,23500,2021-11-07,1071,GAUBERTI Anansa,2021-03-04,2021-01-18,1213,DP,,2021-11-02,2021-10-18,,"[""Location Toiture""]",2020-09-15,2020-03-04,2019-08-15,2020-03-04,2024-03-04,,2020-08-15,,,,,2020-02-03,Non,,1205,,,,,,,,,,,,,,,,KUAI73UW
IEACTCKNI4MXI3FH,Raymond-1,https://www.wrike.com/open.htm?id=427060391,2019-11-25T15:01:22Z,ENOE PV03,0.099,5.643509,43.790912,"Domaine des Canards, 575 voie communale Les Canards",84240,LA BASTIDE DES JOURDANS,SANS OBJET,2020-11-26,2022-05-26,Obligation d'achat S17,98.7,2019-09-27,KUAGEAKU,2020-11-10,Provence-Alpes-Côte d'Azur (13),2022-06-01,0.1,2021-02-23,26327.64,,2022-02-28,0,GAUBERTI Anansa,2021-05-05,2020-12-21,1550,PC,,2021-10-08,2021-09-17,,"[""Bâtiment Neuf""]",2020-09-21,2020-09-30,2019-09-27,2020-09-30,2023-10-01,,2020-10-10,2022-12-26,,2021-09-17,,2020-08-31,Oui,,1550,,,,,,,,,,,,,,,,KUAI73UW
IEACTCKNI4MXI4EZ,Raymond-2,https://www.wrike.com/open.htm?id=427061401,2019-11-25T15:02:35Z,ENOE PV01,0.099,5.643509,43.790525,VS 575 LES CANARDS,84240,LA BASTIDE DES JOURDANS,SANS OBJET,2020-03-31,2022-04-30,Obligation d'achat S17,105.1,2019-09-27,KUAGEAKU,2020-03-25,Provence-Alpes-Côte d'Azur (13),2021-09-30,0.09999,2020-06-29,17725.03,,2021-03-22,1324,CONGARD Kévin,2020-09-22,2020-10-21,1389,DP,,2021-10-11,2021-09-08,,"[""Location Toiture""]",2020-03-25,2020-02-18,2019-09-27,2020-02-18,2023-02-18,,2020-02-25,,,2021-09-08,,2020-01-13,Oui,,,,,,,,,,,,,,,,,,KUAJBVJC
IEACTCKNI4MXKYV4,Gasquet,https://www.wrike.com/open.htm?id=427123388,2019-11-25T16:24:16Z,ENOE PV07,0.09999,5.453451,43.772205,964 chemin de galon - Mas galon,84160,CUCURON,SANS OBJET,2021-06-15,2022-12-15,Obligation d'achat S17,95.2,2019-11-05,KUAGEAKU,2021-03-19,Provence-Alpes-Côte d'Azur (13),2022-06-01,0.09999,2021-08-04,17548.89,,,1448,CONGARD Kévin,2021-10-11,2021-01-26,,PC,,2023-02-09,2023-01-19,,Bâtiment Neuf,2021-03-09,2022-08-09,2022-08-09,2022-08-09,2025-08-09,,2021-02-19,,,,,2022-05-25,NSP,128,1529,,,,,,,,,,,,,,,,KUAJBVJC
IEACTCKNI4MXK3FL,Petitpierre,https://www.wrike.com/open.htm?id=427125931,2019-11-25T16:26:45Z,ENOE PV07,0.09999,5.590503,44.348767,Pra de Means,05150,SORBIERS,SANS OBJET,2021-03-29,2022-09-29,Obligation d'achat S17,97.4,2019-06-20,KUAGEAKU,2021-03-09,Provence-Alpes-Côte d'Azur (13),2023-03-10,0.09999,2021-05-06,12227.83,,2022-10-10,0,YVIN Camille,2021-06-07,2021-04-15,1530,PC,,2022-04-28,2022-03-14,,"[""Bâtiment Neuf""]",2021-03-09,2021-02-05,2021-02-05,,2024-02-06,,2021-02-09,,,,,2020-12-21,NSP,135,1507,,,,,,,,,,,,,,,,KUAJ5YLI
IEACTCKNI4M42ILY,Hermitte,https://www.wrike.com/open.htm?id=432873848,2019-12-10T09:31:07Z,ENOE PV11,0.124,6.613371,44.548055,Lieu dit Chalp - LES PORTETES,05200,CREVOUX,SANS OBJET,2022-01-31,2024-01-31,Obligation d'achat S21,98,2020-03-30,KUAGPU2V,2021-12-31,Provence-Alpes-Côte d'Azur (13),2023-06-01,0.12375,2022-06-21,10749.55,14000,,,GAUBERTI Anansa,2022-08-23,2022-04-30,,PC,,2022-08-29,2022-08-29,,Bâtiment Neuf,2021-12-31,2021-03-29,2020-03-30,2021-03-29,2024-03-29,,2021-11-30,,,,,2021-01-21,Non,156,1241,,2019-12-10,,1263,,,,149,1.832,,,,,,,KUAI73UW
IEACTCKNI4M7ORTU,Maltese,https://www.wrike.com/open.htm?id=435635828,2019-12-17T09:52:13Z,ECO-18,0.099,4.636561,43.701524,Rue Aimee et Eugene cotton,13200,ARLES,SANS OBJET,2019-04-10,2021-05-10,Obligation d'achat S17,111.2,2019-04-10,KUAG5OZT,2019-03-29,Provence-Alpes-Côte d'Azur (13),2021-05-10,0.09999,2020-03-10,6505.84,6506,2021-03-15,1364,CONGARD Kévin,2020-04-02,2020-06-05,1301,DP,,2021-09-10,2021-06-22,2022-12-01,"[""Location Toiture""]",2022-07-06,2018-08-27,2019-04-10,2018-08-27,2021-08-27,,2019-02-28,2021-10-29,2021-11-08,2021-09-10,,,Non,,,,,,,,,,,,,,,,,,KUAJBVJC
IEACTCKNI4M7OSRL,MDM,https://www.wrike.com/open.htm?id=435636779,2019-12-17T09:55:29Z,ECO-18,0.097,3.453606,43.526835,9 rue du Charron,34230,PAULHAN,SANS OBJET,2018-10-15,2020-11-15,Obligation d'achat S17,111.9,2019-05-21,KUAG5OZT,2018-10-15,Occitanie (11),2021-02-22,0.097,2019-07-05,5080.87,4982,2021-01-18,1240,CONGARD Kévin,2019-10-28,2020-06-05,1198,DP,,2020-12-29,2020-11-30,2022-03-16,"[""Location Toiture""]",2021-06-18,2018-04-30,2019-05-21,2018-04-30,2021-04-30,,2018-09-15,2021-03-19,2021-06-18,2020-12-03,,,Non,,,,,,,,,,,,,,,,,,KUAJBVJC
IEACTCKNI4M7OUSK,Theron,https://www.wrike.com/open.htm?id=435638858,2019-12-17T09:58:13Z,ECO-18,0.09996,3.074562,43.726220,Lieu-dit Les Pradinas - lieu dit servies,34260,AVENE,SANS OBJET,2018-09-28,2020-10-28,Obligation d'achat S17,112.5,2017-11-20,KUAG5OZT,2018-09-27,Occitanie (11),2020-10-28,0.099,2019-12-24,13594.93,13595,2021-01-11,1307,CONGARD Kévin,2019-04-11,2020-06-05,1189,DP,,2021-01-26,2021-01-08,2022-03-16,"[""Location Toiture""]",2022-07-06,2017-11-06,2017-11-20,2017-11-06,2020-11-06,,2018-08-27,2021-02-25,2021-09-10,2021-01-26,,2017-10-23,Non,,,,,,,,,,,,,,,,,,KUAJBVJC
IEACTCKNI4M7OWXD,Cancé,https://www.wrike.com/open.htm?id=435641059,2019-12-17T10:03:13Z,SPV1,0.2442,2.074469,44.456077,Les Bouysses,12260,SAINT IGEST,Bat-8 : juill 2019,2019-10-08,2022-01-08,AO CRE,95,2018-05-13,KUAG5OZT,2020-03-26,Occitanie (11),2021-06-08,0.2516,2020-07-24,15057.14,35700,2021-04-26,1278,CONGARD Kévin,2020-10-16,2020-06-01,1292,PC,true,2020-11-17,2020-10-19,2022-05-06,"[""Bâtiment Neuf""]",2020-03-26,2018-03-05,2018-03-05,2018-03-05,2021-03-05,2019-07-05,2020-02-26,2021-11-19,2022-05-16,2020-12-03,,,Non,,,,,,,,,,,,,,,,,,KUAJBVJC
IEACTCKNI4M7OXNW,Derbez-1,https://www.wrike.com/open.htm?id=435641782,2019-12-17T10:04:52Z,SPV1,0.24552,6.34274,44.388491,La Vilette,04140,MONTCLAR,Bat-8 : juill 2019,2019-10-08,2022-01-08,AO CRE,94.91,2019-06-04,KUAG5OZT,2020-03-26,Provence-Alpes-Côte d'Azur (13),2021-06-08,0.24548,2020-06-29,19617.93,24500,2020-10-01,1435,GAUBERTI Anansa,2020-09-22,2020-06-01,1475,PC,true,2021-12-14,2021-11-16,,"[""Bâtiment Neuf""]",2020-03-26,2016-09-30,2016-09-30,,2019-10-01,2019-07-05,2020-02-26,2021-12-15,2022-06-22,2021-12-14,,,Non,,,,,,,,,,,,,,,,,,KUAI73UW
IEACTCKNI4M7OX5H,Feniere-1,https://www.wrike.com/open.htm?id=435642279,2019-12-17T10:06:07Z,SPV1,0.25245,5.949264,44.006173,Centre equestre La Feniere- La deymiere,04190,LES MEES,Bat-8 : juill 2019,2019-10-08,2023-07-08,AO CRE,95,2019-05-14,KUAG5OZT,2019-05-22,Provence-Alpes-Côte d'Azur (13),2021-08-23,0.2652,2020-08-17,27676.02,27676,2020-10-19,1450,GAUBERTI Anansa,2020-08-25,2020-06-01,1386,PC,true,2020-11-30,2020-10-29,2022-05-10,"[""Bâtiment Neuf""]",2019-05-22,2018-02-19,2018-02-19,,2021-02-19,2019-07-05,2019-04-22,2022-01-21,2022-11-29,2020-12-03,,,Non,,,,,,,,,,,,,,,,,,KUAI73UW
IEACTCKNI4NAESY6,Plot,https://www.wrike.com/open.htm?id=436357918,2019-12-18T14:10:26Z,SPV1,0.28512,4.967458,44.723106,Lieu dit Les Plots,26400,CHABRILLAN,Bat-8 : juill 2019,2019-10-08,2023-07-08,AO CRE,95,2019-01-01,KUAG5OZT,2020-03-27,Auvergne-Rhône-Alpes (1),2021-04-15,0.31348,2021-09-02,29047.65,35000,2021-01-27,1120,CONGARD Kévin,2021-04-08,2020-06-01,1339,PC,true,2020-12-16,2020-11-13,2022-02-24,"[""Bâtiment Neuf""]",2020-03-26,2018-03-08,2018-03-08,2018-03-08,2021-03-08,2019-07-05,2020-02-27,2022-02-18,2023-01-03,2020-12-03,,,Non,,,,,,,,,,,,,,,,,,KUAJBVJC
IEACTCKNI4NFXRRI,Rouit-4,https://www.wrike.com/open.htm?id=442222120,2020-01-08T13:14:52Z,ENOE PV05,0.099,5.386653,43.711777,Lieu-dit Champ Long,84160,CADENET,SANS OBJET,2020-11-30,2022-05-30,Obligation d'achat S17,98.7,2019-11-20,KUAFV42T,2020-11-25,Provence-Alpes-Côte d'Azur (13),2022-06-01,0.1,2021-02-24,3976.4,,2022-06-14,1432,CONGARD Kévin,2021-05-17,2020-10-21,1463,PC,,2022-05-02,2021-12-31,,"[""Bâtiment Neuf""]",2020-03-26,2020-11-04,2020-11-04,,2023-11-05,,2020-10-25,,,2021-12-31,2021-08-11,2020-07-01,Non,,,,,,,,,,,,,,,,,,KUAJBVJC
IEACTCKNI4NFXRWA,Rouit-5,https://www.wrike.com/open.htm?id=442222272,2020-01-08T13:15:09Z,ENOE PV03,0.099,5.386182,43.711366,Lieu-dit Champ Long,84160,CADENET,SANS OBJET,2020-11-30,2022-05-30,Obligation d'achat S17,98.7,2019-11-20,KUAFV42T,2020-11-25,Provence-Alpes-Côte d'Azur (13),2022-06-01,0.1,2021-02-24,3976.4,,2022-03-07,1432,CONGARD Kévin,2021-05-11,2020-12-21,1477,PC,,2022-05-02,2022-01-03,,"[""Bâtiment Neuf""]",2020-09-21,2020-11-04,2019-11-20,2020-11-04,2023-11-05,,2020-10-25,2022-11-29,2023-02-13,2022-01-03,2021-08-11,2020-07-01,Non,,1519,,,,,,,,,,,,,,,,KUAJBVJC
IEACTCKNI4NKZ3K4,Bac-S,https://www.wrike.com/open.htm?id=447540572,2020-01-18T09:01:59Z,ENOE PV03,0.099,6.563517,43.936432,Lieu-dit Chamattes,04170,VERGONS,SANS OBJET,2020-09-16,2022-03-16,Obligation d'achat S17,102.5,2019-12-11,KUAGHBNY,2020-09-15,Provence-Alpes-Côte d'Azur (13),2022-03-15,0.1,2020-11-27,23705.35,,2021-11-29,1349,GAUBERTI Anansa,2021-02-21,2020-10-05,1448,PC,,2021-11-04,2021-09-06,,"[""Bâtiment Neuf""]",2020-09-15,2020-08-05,2019-12-11,2020-08-05,2023-08-06,,2020-08-15,,,2021-09-06,,2020-05-20,NSP,,1479,,,,,,,,,,,,,,,,KUAI73UW
IEACTCKNI4NMJTYZ,Renoire,https://www.wrike.com/open.htm?id=449105689,2020-01-22T15:19:34Z,ENOE PV03,0.099,0.046414,43.669841,Lieu-dit a Larroque,32290,POUYDRAGUIN,SANS OBJET,2020-12-02,2022-06-02,Obligation d'achat S17,98.7,2019-12-09,KUAIIU7I,2020-12-01,Occitanie (11),2022-06-01,0.09975,2021-03-03,22079.65,,2022-03-07,,CONGARD Kévin,2021-05-21,2020-12-21,1235,PC,,2021-08-31,2021-08-03,2022-03-29,"[""Bâtiment Neuf""]",2020-09-21,2020-10-22,2019-12-09,2020-10-22,2023-10-23,,2020-11-01,2022-10-27,2022-10-19,2021-08-31,,2020-06-19,NSP,,1182,,,,,,,,,,,,,,,,KUAJBVJC
IEACTCKNI4NMJXYL,GAEC-Noyers,https://www.wrike.com/open.htm?id=449109771,2020-01-22T15:25:11Z,ENOE PV03,0.099,5.630713,45.469567,287 route de l'ourcière,38620,SAINT-GEOIRE-EN-VALDAINE,SANS OBJET,2020-09-28,2022-03-28,Obligation d'achat S17,102.5,2019-12-18,KUAGPU2V,2020-09-28,Auvergne-Rhône-Alpes(1),2022-05-02,0.1,2020-12-24,14283.93,,2022-01-10,1188,GAUBERTI Anansa,2021-03-19,2021-01-04,1220,PC,,2022-03-24,2022-03-10,,"[""Bâtiment Neuf""]",2020-09-21,2020-08-10,2019-12-18,2020-08-10,2023-08-11,,2020-08-28,,,2022-03-10,,2020-06-05,NSP,,1220,,,,,,,,,,,,,,,,KUAI73UW
IEACTCKNI4NM2UTN,Martin-E,https://www.wrike.com/open.htm?id=449663597,2020-01-23T14:01:59Z,ENOE PV07,0.099,6.153102,44.686895,Lieu-dit devant le bosc,05260,ST MICHEL DE CHAILLOL,SANS OBJET,2021-09-17,2023-03-17,Obligation d'achat S17,94.7,2020-11-17,KUAMTNDK,2021-09-15,Provence-Alpes-Côte d'Azur (13),2023-05-31,0.099,2021-12-03,31582.47,,2023-01-02,1248,YVIN Camille,2022-02-03,2021-09-27,1163,DP,,2022-07-27,2022-06-13,,"[""Location Toiture""]",2021-05-25,2021-07-05,2021-05-31,,2024-07-05,,2021-08-15,,,,,2021-06-04,,135,1424,,2021-03-12,,,,,,,,,,,,,,KUAJ5YLI
IEACTCKNI4NTYIIK,Delaforge,https://www.wrike.com/open.htm?id=456925450,2020-02-06T09:55:44Z,A DETERMINER BAT,0.145,5.903883,43.87136,Lieu-dit Le Bars,04210,VALENSOLE,SANS OBJET,,,Obligation d'achat S21,,2020-08-04,KUAGHBNY,,Provence-Alpes-Côte d'Azur (13),2023-03-10,,,,15000,,1293,GAUBERTI Anansa,,,,PC,,,,,"[""Bâtiment Neuf""]",2022-07-15,,2021-11-30,2023-03-01,,,,,,,,,NSP,,,,2020-10-23,,,151,44.98,,,,,,,,,,KUAI73UW
IEACTCKNI4NTZCPE,Roman-C,https://www.wrike.com/open.htm?id=456952292,2020-02-06T11:02:07Z,ENOE PV07,0.09999,6.951607,43.91658,Quartier les plans,06260,LA PENNE,SANS OBJET,2021-06-21,2022-12-21,Obligation d'achat S17,95.2,2019-12-04,KUAGHBNY,2021-05-27,Provence-Alpes-Côte d'Azur (13),2022-06-15,0.09999,2021-08-04,6134.09,,2022-02-21,1426,Anonyme,2021-10-04,2021-09-01,1559,PC,,2022-04-19,2022-03-28,,"[""Bâtiment Neuf""]",2020-12-01,2021-05-06,2020-02-06,2021-05-06,2024-05-06,,2021-04-27,,,2022-03-28,,2021-02-09,NSP,144,1539,,2020-02-06,,,,,,,,,,,,,,KUALFD66
IEACTCKNI4NXC2U2,Bac,https://www.wrike.com/open.htm?id=460417690,2020-02-11T09:48:05Z,ENOE PV03,0.099,6.561551,43.936967,Lieu-dit Les Combes,04170,ANGLES,SANS OBJET,2020-09-16,2022-03-16,Obligation d'achat S17,102.5,2019-12-11,KUAGHBNY,2020-09-15,Provence-Alpes-Côte d'Azur (13),2022-03-15,0.1,2020-12-30,24064.05,12000,2021-11-29,1170,Anonyme,2021-02-21,2020-10-05,1395,PC,,2022-01-03,2021-12-18,,"[""Bâtiment Neuf""]",2020-09-15,2020-08-19,2019-12-11,2020-08-19,2023-08-20,,2020-08-15,,,2021-12-18,,2020-05-20,NSP,,1380,,,,,,,,,,,,,,,,KUALFD66
IEACTCKNI4NXD2OX,Lamé,https://www.wrike.com/open.htm?id=460450263,2020-02-11T11:11:25Z,ENOE PV03,0.099,6.34763,44.405793,La Miande,04140,MONTCLAR,SANS OBJET,2020-09-28,2022-03-28,Obligation d'achat S17,102.5,2019-12-17,KUAGHBNY,2020-09-25,Provence-Alpes-Côte d'Azur (13),2022-05-16,0.1,2020-12-08,15009.66,,2022-01-24,1342,GAUBERTI Anansa,2021-02-26,2021-01-04,1441,PC,,2021-11-29,2021-11-29,,"[""Bâtiment Neuf""]",2020-09-21,2020-09-18,2019-12-17,2020-09-18,2023-09-19,,2020-08-25,,,2021-11-29,,2020-06-23,NSP,,1434,,,,,,,,,,,,,,,,KUAI73UW
IEACTCKNI4NZUVFA,Cannata,https://www.wrike.com/open.htm?id=463099040,2020-02-13T10:55:53Z,ENOE PV07,0.09999,4.899847,43.95523,117 chemin de saint-montange,84270,VEDENE,SANS OBJET,2021-03-25,2022-09-25,Obligation d'achat S17,97.4,2020-01-25,KUAMTNDK,2021-03-25,Provence-Alpes-Côte d'Azur (13),2022-09-26,0.09999,2021-06-10,10334.2,,2022-09-12,1208,Anonyme,2021-07-14,2021-04-09,,PC,,2022-06-03,2022-06-03,,"[""Bâtiment Neuf""]",2021-03-19,2020-08-04,2020-03-18,2020-08-04,2023-08-05,,2021-02-25,,,2022-06-03,,2020-05-18,NSP,131,1342,,,,,,,,,,,,,,,,KUALFD66
IEACTCKNI4N2PIVY,Gaudy-Saleon,https://www.wrike.com/open.htm?id=463971000,2020-02-14T15:51:42Z,ENOE PV07,0.099,5.78575,44.318323,Lieu-dit Le Serre,05300,SALEON,SANS OBJET,2021-06-15,2022-12-15,Obligation d'achat S17,95.2,2019-11-08,KUAGEAKU,2021-06-14,Provence-Alpes-Côte d'Azur (13),2023-03-10,0.099,2021-09-16,20768.21,,2022-10-17,1331,Anonyme,2021-11-19,2021-06-21,,PC,,2022-08-30,2022-08-04,,Bâtiment Neuf,2021-06-04,2021-02-12,2020-10-05,2021-02-12,2024-02-13,,2021-05-14,,,2022-08-04,,2021-01-05,NSP,140,1419,,,,,,,,,,,,,,,,KUALFD66
IEACTCKNI4N4SCXO,Pomarede-2,https://www.wrike.com/open.htm?id=466160366,2020-02-19T08:26:20Z,ENOE PV05,0.099,2.673339,44.078894,Lieu-dit La Sarette,12430,LESTRADE ET THOUELS,SANS OBJET,2020-06-22,2022-07-22,Obligation d'achat S17,105.1,2018-11-01,KUAGEAKU,2020-03-26,Occitanie (11),2021-11-01,0.099,2020-10-29,12395.48,,2021-05-10,1094,CONGARD Kévin,2021-01-21,2020-10-21,1175,DP,,2021-09-30,2021-09-26,,"[""Location Toiture""]",2020-03-26,2019-07-02,2019-07-02,,2022-07-02,,2020-02-26,,2023-01-25,2021-09-30,,,,,1187,,,,,,,,,,,,,,,,KUAJBVJC
IEACTCKNI4OEHYL5,Feliu,https://www.wrike.com/open.htm?id=474210685,2020-03-05T13:22:56Z,ENOE PV11,0.18,2.810867,43.716812,Lieu-dit Las Roques,81320,MURAT SUR VEBRE,SANS OBJET,2022-01-26,2024-01-26,Obligation d'achat S21,98,2021-05-12,KUAIZA3S,2022-01-11,Occitanie (11),2023-10-13,0.19992,2022-06-10,15023.48,13200,,1108,Anonyme,2022-07-22,2022-04-26,,PC,,2022-09-28,2022-07-27,,"[""Bâtiment Neuf""]",2021-10-13,2021-12-08,2021-10-15,2021-12-08,2024-12-08,,2021-12-11,,,,,2021-10-18,NSP,230,1234,,2021-05-19,,1205,,,,213,42.771,,,,,,,KUALFD66
IEACTCKNI4ON725R,Derbez-A,https://www.wrike.com/open.htm?id=484436913,2020-03-26T10:33:55Z,ENOE PV03,0.099,6.52383,44.40797,Lieu-dit Serre Légier,04340,MEOLANS REVEL,SANS OBJET,2020-12-15,2022-06-15,Obligation d'achat S17,98.7,2019-11-29,KUAGEAKU,2020-09-24,Provence-Alpes-Côte d'Azur (13),2022-04-15,0.09975,2021-03-10,5597.69,,2021-12-20,1375,GAUBERTI Anansa,2021-05-21,2021-01-04,1440,PC,,2022-05-19,2022-05-02,,"[""Bâtiment Neuf""]",2020-09-21,2020-08-11,2019-11-29,2020-08-11,2023-08-12,,2020-08-24,,,2022-05-02,,2020-07-01,NSP,,1400,,,,,,,,,,,,,,,,KUAI73UW
IEACTCKNI4OQUHNG,Lemcaa-3,https://www.wrike.com/open.htm?id=487202214,2020-03-31T09:36:32Z,ENOE PV11,0.2448,5.890348,44.562687,Lieu-dit Jean de l'amour - Quartier Blaigny,05400,MONTMAUR,SANS OBJET,2022-02-14,2024-02-14,Obligation d'achat S21,98,2020-02-04,KUAGEAKU,2022-02-14,Provence-Alpes-Côte d'Azur (13),2023-11-22,0.26775,2022-05-11,9741.68,16000,,1394,GAUBERTI Anansa,2022-07-04,2022-05-14,,PC,,2022-11-22,2022-11-07,,"[""Bâtiment Neuf""]",2022-02-14,2020-11-23,2020-04-07,2020-11-23,2023-11-24,,2022-01-14,,,,,2020-08-31,NSP,305,1379,,2020-04-01,,1336,,,,298,90.086,,,,,,,KUAI73UW
IEACTCKNI4OQWTY3,Lemcaa-1,https://www.wrike.com/open.htm?id=487280411,2020-03-31T12:16:27Z,ENOE PV07,0.227,5.89212,44.562695,Lieu-dit Jean de l'amour - Quartier Blaigny,05400,MONTMAUR,Bat-13 : Juillet 2021,2021-12-14,2025-02-14,AO CRE,86,2020-02-04,KUAGEAKU,2022-01-31,Provence-Alpes-Côte d'Azur (13),2023-05-01,0.22724,2022-05-05,9537.76,17667,2022-11-07,1388,Anonyme,2022-07-08,2021-12-15,1407,PC,true,2022-03-31,2022-03-24,,"[""Bâtiment Neuf""]",2022-01-31,2020-11-23,2020-04-07,2020-11-23,2023-11-24,2021-07-08,2021-12-31,,,,,2020-08-31,NSP,243,1360,,2020-04-01,,,,,,,,,,,,,,KUALFD66
